
HELLO IICS

FST info: dumpfile test.fst opened for output.
======================================
=         SIM started                =
= seed        = 1
= transaction = 100
= push_rate   = 50
======================================
tmp1 = 0x1; x = 5.960464477539062500000000000000e-08, tmp2 = 0x1
  548 ns sample          96 OK it match: a = 0x1ed3:6.66427612304687500000e-03; b = 0x3275:2.01782226562500000000e-01; z = 0x32ac:2.08496093750000000000e-01, expt = 0x32ac:2.08446502685546875000e-01
  552 ns sample          97 OK it match: a = 0x178e:1.84440612792968750000e-03; b = 0x49f4:1.19062500000000000000e+01; z = 0x49f4:1.19062500000000000000e+01, expt = 0x49f4:1.19080944061279296875e+01
  556 ns sample          98 ERROR they don't match: a = 0xe268:-8.20000000000000000000e+02; b = 0x4830:8.37500000000000000000e+00; z = 0xe259:-8.12500000000000000000e+02, expt = 0xe257:-8.11625000000000000000e+02
  560 ns sample          99 OK it match: a = 0x41aa:2.83203125000000000000e+00; b = 0x6f43:7.43600000000000000000e+03; z = 0x6f44:7.44000000000000000000e+03, expt = 0x6f44:7.43883203125000000000e+03
  564 ns sample         100 OK it match: a = 0x8abc:-2.05516815185546875000e-04; b = 0xe4f1:-1.26500000000000000000e+03; z = 0xe4f1:-1.26500000000000000000e+03, expt = 0xe4f1:-1.26500020551681518555e+03
  568 ns sample         101 ERROR they don't match: a = 0x1211:7.40528106689453125000e-04; b = 0xa7f8:-3.11279296875000000000e-02; z = 0xa7c9:-3.04107666015625000000e-02, expt = 0xa7c7:-3.03874015808105468750e-02
  572 ns sample         102 OK it match: a = 0x8f78:-4.55856323242187500000e-04; b = 0x55d6:9.33750000000000000000e+01; z = 0x55d6:9.33750000000000000000e+01, expt = 0x55d6:9.33745441436767578125e+01
  576 ns sample         103 OK it match: a = 0x6927:2.63800000000000000000e+03; b = 0x20dc:9.49096679687500000000e-03; z = 0x6927:2.63800000000000000000e+03, expt = 0x6927:2.63800949096679687500e+03
  580 ns sample         104 OK it match: a = 0x2d97:8.73413085937500000000e-02; b = 0xa4da:-1.89514160156250000000e-02; z = 0x2c61:6.84204101562500000000e-02, expt = 0x2c61:6.83898925781250000000e-02
  584 ns sample         105 OK it match: a = 0xdf81:-4.80250000000000000000e+02; b = 0xc6a9:-6.66015625000000000000e+00; z = 0xdf9c:-4.87000000000000000000e+02, expt = 0xdf9c:-4.86910156250000000000e+02
  588 ns sample         106 OK it match: a = 0x618b:7.09500000000000000000e+02; b = 0x9f58:-7.17163085937500000000e-03; z = 0x618b:7.09500000000000000000e+02, expt = 0x618b:7.09492828369140625000e+02
  592 ns sample         107 OK it match: a = 0xcfb1:-3.07656250000000000000e+01; b = 0x47a0:7.62500000000000000000e+00; z = 0xcdc9:-2.31406250000000000000e+01, expt = 0xcdc9:-2.31406250000000000000e+01
  596 ns sample         108 OK it match: a = 0xe49b:-1.17900000000000000000e+03; b = 0xce47:-2.51093750000000000000e+01; z = 0xe4b4:-1.20400000000000000000e+03, expt = 0xe4b4:-1.20410937500000000000e+03
  600 ns sample         109 OK it match: a = 0x5852:1.38250000000000000000e+02; b = 0xb71:2.27093696594238281250e-04; z = 0x5852:1.38250000000000000000e+02, expt = 0x5852:1.38250227093696594238e+02
  604 ns sample         110 OK it match: a = 0x3968:6.75781250000000000000e-01; b = 0x81cd:-2.74777412414550781250e-05; z = 0x3968:6.75781250000000000000e-01, expt = 0x3968:6.75753772258758544922e-01
  608 ns sample         111 OK it match: a = 0x5508:8.05000000000000000000e+01; b = 0x40e2:2.44140625000000000000e+00; z = 0x552f:8.29375000000000000000e+01, expt = 0x552f:8.29414062500000000000e+01
  612 ns sample         112 OK it match: a = 0x971b:-1.73473358154296875000e-03; b = 0xc340:-3.62500000000000000000e+00; z = 0xc341:-3.62695312500000000000e+00, expt = 0xc341:-3.62673473358154296875e+00
  616 ns sample         113 ERROR they don't match: a = 0x60b4:6.02000000000000000000e+02; b = 0xd3ef:-6.34687500000000000000e+01; z = 0x6037:5.39500000000000000000e+02, expt = 0x6035:5.38531250000000000000e+02
  620 ns sample         114 OK it match: a = 0xf82a:-3.41120000000000000000e+04; b = 0x5e2c:3.95000000000000000000e+02; z = 0xf81e:-3.37280000000000000000e+04, expt = 0xf81e:-3.37170000000000000000e+04
  624 ns sample         115 OK it match: a = 0xd88c:-1.45500000000000000000e+02; b = 0x6cda:4.96800000000000000000e+03; z = 0x6cb6:4.82400000000000000000e+03, expt = 0x6cb6:4.82250000000000000000e+03
  628 ns sample         116 OK it match: a = 0x1d33:5.07736206054687500000e-03; b = 0xe277:-8.27500000000000000000e+02; z = 0xe277:-8.27500000000000000000e+02, expt = 0xe277:-8.27494922637939453125e+02
  632 ns sample         117 OK it match: a = 0xd952:-1.70250000000000000000e+02; b = 0x7bed:6.49280000000000000000e+04; z = 0x7be8:6.47680000000000000000e+04, expt = 0x7be8:6.47577500000000000000e+04
  636 ns sample         118 ERROR they don't match: a = 0x7fdd:0.00000000000000000000e+00; b = 0x993a:-2.55203247070312500000e-03; z = 0x7fdd:0.00000000000000000000e+00, expt = 0x993a:-2.55203247070312500000e-03
  640 ns sample         119 OK it match: a = 0x3d69:1.35253906250000000000e+00; b = 0x2b4a:5.69458007812500000000e-02; z = 0x3da3:1.40917968750000000000e+00, expt = 0x3da3:1.40948486328125000000e+00
  644 ns sample         120 OK it match: a = 0x5b49:2.33125000000000000000e+02; b = 0x8f68:-4.52041625976562500000e-04; z = 0x5b49:2.33125000000000000000e+02, expt = 0x5b49:2.33124547958374023438e+02
  648 ns sample         121 OK it match: a = 0xa1f1:-1.16043090820312500000e-02; b = 0x69b1:2.91400000000000000000e+03; z = 0x69b1:2.91400000000000000000e+03, expt = 0x69b1:2.91398839569091796875e+03
  652 ns sample         122 OK it match: a = 0xacee:-7.70263671875000000000e-02; b = 0x8cd9:-2.95877456665039062500e-04; z = 0xacf3:-7.73315429687500000000e-02, expt = 0xacf3:-7.73222446441650390625e-02
  656 ns sample         123 OK it match: a = 0x5eac:4.27000000000000000000e+02; b = 0xdc7b:-2.86750000000000000000e+02; z = 0x5862:1.40250000000000000000e+02, expt = 0x5862:1.40250000000000000000e+02
  660 ns sample         124 OK it match: a = 0x3078:1.39648437500000000000e-01; b = 0x23d2:1.52740478515625000000e-02; z = 0x30f5:1.54907226562500000000e-01, expt = 0x30f5:1.54922485351562500000e-01
